,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
0,A,22.74955036080023,Healthcare,1.74,40954728448.0,5.9097733,0.19091,6.29,Large-Cap,135.52999877929688,85.78953126186404,39.847098506060966
3,AACG,1.0964938094258945,Consumer Defensive,-0.07,59381492.0,0.28711554,-0.23156999,-1.2,Micro-Cap,1.919999957084656,149.3506499538335,103.40821719803043
8,AAIC,0.48064505159408594,Real Estate,-0.97,73737040.0,2.415074,0.17771,0.35,Micro-Cap,2.630000114440918,-6.405687971672139,-52.34812072747521
10,AAL,3.622715428090195,Industrials,0.06,8747748352.0,0.17863119,0.00259,3.04,Mid-Cap,13.31999969482422,21.090906316583823,-24.851526439219253
14,AAOI,3.5212819186910003,Technology,-0.35,62173208.0,0.27903137,-0.29799,-0.02,Micro-Cap,2.119999885559082,-74.39613582211624,-120.33856857791932
15,AAON,10.91668733304139,Industrials,3.17,5372490752.0,6.0447383,0.11293,3.14,Mid-Cap,99.26000213623048,123.61471299525424,77.67228023945117
16,AAP,33.161177187990354,Consumer Cyclical,3.71,7619995136.0,0.68311834,0.04499,11.4,Mid-Cap,128.3699951171875,15.62456406401806,-30.317868691785016
17,AAPL,24.442110496477817,Technology,3.45,2610929860608.0,6.73724,0.24558,6.6,Mega-Cap,166.64999389648438,150.73897071104443,104.79653795524135
18,AAT,5.57150546917301,Real Estate,8.08,1379575296.0,3.2959485,0.10394,0.86,Small-Cap,18.18000030517578,-24.546561658115078,-70.48899441391815
20,AB,8.848412892627877,Financial Services,-1.81,4107078144.0,13.443615,0.89742,3.12,Mid-Cap,36.34999847412109,124.51724570165126,78.57481294584818
21,ABB,4.87147271256781,Industrials,1.5,65895010304.0,2.2378254,0.08405,1.78,Large-Cap,35.209999084472656,114.14692284544891,68.20449008964584
22,ABBV,27.04084770026283,Healthcare,-6.05,286513987584.0,4.9353013,0.20388001,11.12,Mega-Cap,161.74000549316406,118.65060034685675,72.70816759105367
23,ABC,24.484444747114463,Healthcare,1.93,33722474496.0,0.13946143,0.00715,12.59,Large-Cap,165.9600067138672,100.19232634627981,54.24989359047674
24,ABCB,10.442293473000085,Financial Services,0.91,2357702144.0,2.3767781,0.34934,4.73,Mid-Cap,34.58000183105469,57.47603078212078,11.533598026317705
28,ABEV,0.32641214058784235,Consumer Defensive,2.74,46021742592.0,0.57737327,0.18138,0.16,Large-Cap,2.880000114440918,38.51329215941532,-7.429140596387754
29,ABG,40.28666124513333,Consumer Cyclical,0.36,4424974848.0,0.2867049,0.064619996,30.59,Mid-Cap,204.8800048828125,294.00000939002405,248.05757663422096
31,ABM,5.269943970472173,Industrials,3.19,2796283648.0,0.35568434,0.02454,3.91,Mid-Cap,42.709999084472656,46.33932431888418,0.3968915630811054
34,ABR,3.3689633310175977,Real Estate,0.77,1965046272.0,3.0043364,0.49808997,1.82,Small-Cap,10.93000030517578,113.27427148174338,67.33183872594032
41,ACA,7.330390185742277,Industrials,7.07,2924620032.0,1.3040038,0.1096,2.46,Mid-Cap,60.310001373291016,61.49049575224329,15.548062996440215
47,ACAD,13.537956811076626,Healthcare,-1.54,3259200768.0,6.301199,-0.41756,0.05,Mid-Cap,19.96999931335449,-58.256690531648715,-104.19912328745178
55,ACCO,1.3553414738719292,Industrials,0.45,459400224.0,0.23588017,-0.00678,1.36,Small-Cap,4.909999847412109,-4.966198309587857,-50.908631065390935
58,ACEL,1.5932199409516559,Consumer Cyclical,2.39,786047488.0,0.81052786,0.076409996,0.8,Small-Cap,9.039999961853027,4.994196542648019,-40.948236213155056
60,ACET,3.5627367835197354,Healthcare,-0.07,265476720.0,10.623318,-2.79272,-2.71,Small-Cap,6.050000190734863,-24.844719908229283,-70.78715266403236
61,ACGL,10.986684129174364,Financial Services,0.72,26892183552.0,2.7969549,0.15361,6.64,Large-Cap,72.19000244140625,185.44879330978446,139.50636055398138
65,ACHC,17.98972434027759,Healthcare,1.98,6785359360.0,2.5993571,0.10463,3.66,Mid-Cap,72.9800033569336,226.82491538863064,180.88248263282756
71,ACIW,5.678803903586578,Technology,1.96,2773998336.0,1.9509082,0.099989995,1.34,Mid-Cap,25.63999938964844,6.5669158718918235,-39.37551688391125
72,ACLS,27.536050346758024,Technology,1.08,4101730304.0,4.458412,0.199,6.95,Mid-Cap,125.33999633789062,522.0347330559047,476.0923003001016
74,ACM,15.015435219385495,Industrials,1.61,11442532352.0,0.86268747,0.025409998,4.41,Large-Cap,83.13999938964844,163.77942096739181,117.83698821158873
75,ACMR,8.711097322605532,Technology,0.3,623300352.0,1.6030068,0.10098,1.02,Small-Cap,10.890000343322754,-1.9801919005665307,-47.92262465636961
76,ACN,47.99104171313054,Technology,2.64,174511243264.0,2.7636843,0.1099,12.59,Large-Cap,275.54998779296875,69.51574022619066,23.573307470387583
82,ACR,3.3120750236935166,Real Estate,1.05,79712672.0,1.2677959,0.16895,2.26,Micro-Cap,9.729999542236328,26.19973403495396,-19.742698720849116
83,ACRE,2.665644904437657,Real Estate,2.73,483816224.0,8.048847,0.49550998,1.43,Small-Cap,8.949999809265137,41.37254709967814,-4.569885656124939
85,ACRS,6.820092455851416,Healthcare,-0.07,646716480.0,21.736908,-2.92108,-1.7,Small-Cap,9.18000030517578,734.5454642004214,688.6030314446183
99,ADAP,2.493511974858647,Healthcare,-3.0,223697696.0,8.239933,0.0,-0.45,Micro-Cap,1.409999966621399,-61.04972344761179,-106.99215620341486
100,ADBE,99.12188446391274,Technology,1.75,173237239808.0,9.624826,0.26318002,17.6,Large-Cap,380.260009765625,15.584066705107,-30.358366050696077
101,ADC,4.902960352056964,Real Estate,19.33,6078401024.0,14.141933,0.35466,1.75,Mid-Cap,67.20999908447266,15.289642135314105,-30.65279062048897
104,ADEA,2.2058436346040673,Technology,0.41,856657152.0,1.9516809,-0.67408997,1.36,Small-Cap,8.109999656677246,121.34151586756342,75.39908311176035
110,ADI,22.4501173609395,Technology,2.65,94584324096.0,7.519051,0.27267,10.94,Large-Cap,186.97999572753903,98.428801023403,52.48636826759992
112,ADM,17.971711879526673,Consumer Defensive,-19.57,43988819968.0,0.43314838,0.042740002,6.78,Large-Cap,81.0,144.43141342163116,98.48898066582808
116,ADNT,9.77067648636391,Consumer Cyclical,0.12,3751496192.0,0.26161063,-0.00377,4.05,Mid-Cap,39.33000183105469,240.22491698455121,194.28248422874813
118,ADP,36.12315596411668,Industrials,1.97,89172697088.0,5.1702714,0.18242,9.01,Large-Cap,215.6199951171875,65.91109569121542,19.968662935412347
119,ADPT,17.411970099225634,Healthcare,-0.84,1230320000.0,6.6393247,-1.08031,-1.07,Small-Cap,8.329999923706055,-71.89608604845232,-117.83851880425539
121,ADSK,44.10481734590217,Technology,1.7,41687232512.0,8.329117,0.16444,8.36,Large-Cap,194.63999938964844,14.480646099580962,-31.461786656222113
122,ADT,1.267245641750329,Industrials,3.81,6470060032.0,1.0116882,0.026989998,0.56,Mid-Cap,6.980000019073486,42.15339737790427,-3.7890353778988057
124,ADTN,3.9971174877335915,Technology,5.01,754102016.0,0.73532474,-0.00199,1.64,Small-Cap,9.449999809265137,12.652341195164645,-33.29009156063843
126,ADUS,11.288671294572335,Healthcare,1.87,1813893632.0,1.9071133,0.04839,4.46,Small-Cap,112.77999877929688,45.84248817902646,-0.09994457677661472
127,ADV,3.589377822027185,Communication Services,-56.0,370467872.0,0.091479376,-0.34089002,0.61,Small-Cap,1.2100000381469729,-88.16046960340493,-134.102902359208
135,AEE,7.295475305848713,Utilities,2.98,23612252160.0,3.0817347,0.14017001,4.69,Large-Cap,89.5,26.58700132727606,-19.355431428527016
138,AEG,0.9421875948279302,Financial Services,-2.76,9098580992.0,-0.705973,0.0,0.7,Mid-Cap,4.480000019073486,118.00222962181006,72.05979686600699
140,AEHR,9.947809133179344,Technology,2.39,761730816.0,12.094613,0.22610001,1.02,Small-Cap,27.25,1561.5853803470548,1515.6429475912516
142,AEIS,14.092863259538534,Industrials,1.95,3335017216.0,1.8071841,0.10819,5.97,Mid-Cap,88.94999694824219,86.88309193363908,40.940659177836004
143,AEL,6.929215817576878,Financial Services,0.27,3149592064.0,2.1946466,0.85076,5.8,Mid-Cap,37.88999938964844,119.71895603900316,73.77652328320008
144,AEM,10.117049848338414,Basic Materials,-5.98,25875535872.0,4.5070205,0.116739996,2.09,Large-Cap,56.7400016784668,9.759508399517927,-36.18292435628515
147,AEO,8.123809701022902,Consumer Cyclical,0.77,2636094720.0,0.52829313,0.02508,1.26,Mid-Cap,13.479999542236328,70.33279706177574,24.39036430597266
148,AEP,8.015288627934837,Utilities,3.31,48313106432.0,2.4599967,0.11748,5.62,Large-Cap,93.51000213623048,21.52089712873002,-24.421535627073055
150,AER,11.970589952747005,Industrials,0.64,13299449856.0,1.9232796,-0.10499,9.08,Large-Cap,55.27000045776367,144.55752002146357,98.61508726566049
151,AES,4.196322796559521,Utilities,1.65,16056743936.0,1.2726277,-0.043270003,1.92,Large-Cap,23.8700008392334,103.04311039255502,57.100677636751946
154,AEVA,4.415515186595946,Consumer Cyclical,-0.07,224164368.0,53.474323,0.0,-0.63,Micro-Cap,0.9900000095367432,-89.83572861600703,-135.7781613718101
163,AFG,33.83810621088546,Financial Services,3.92,10292794368.0,1.5114236,0.13186,12.43,Large-Cap,123.02999877929688,152.68323555688156,106.74080280107847
169,AFL,11.36440184662592,Financial Services,10.37,40360497152.0,2.0695567,0.21541001,6.05,Large-Cap,66.4800033569336,102.60786799153499,56.66543523573191
174,AFYA,5.4336435344402325,Consumer Defensive,7.83,1087332224.0,0.46685514,0.16038999,1.75,Small-Cap,12.050000190734863,-35.423363937454496,-81.36579669325758
175,AG,3.1433022730743767,Basic Materials,1.41,1971169280.0,3.1578069,-0.18306999,0.54,Small-Cap,7.239999771118164,1.5179369942617023,-44.42449576154137
179,AGCO,27.27690876267885,Industrials,1.32,9311616000.0,0.73601466,0.07032,14.06,Mid-Cap,126.0500030517578,175.2798910252175,129.3374582694144
184,AGI,1.2974996763914193,Basic Materials,-2.2,5027560448.0,6.122212,0.04518,0.45,Mid-Cap,12.81999969482422,98.13681811974561,52.19438536394254
187,AGIO,11.42994423120802,Healthcare,-0.09,1253868416.0,88.05256,0.0,-6.61,Small-Cap,22.59000015258789,-50.242292085142026,-96.18472484094511
190,AGM,24.16190342633642,Financial Services,0.99,1431648512.0,4.6901927,0.58361,13.78,Small-Cap,135.38999938964844,155.3746375527904,109.43220479698732
192,AGNC,2.513191070897869,Real Estate,-2.23,5779534336.0,-5.1787944,0.0,2.23,Mid-Cap,9.979999542236328,-8.28614845640226,-54.228581212205334
198,AGO,13.147480457642327,Financial Services,4.22,3195639040.0,3.906649,0.15159,5.25,Mid-Cap,53.70000076293945,103.81560284406734,57.87317008826427
199,AGR,4.0401394125345975,Utilities,3.51,15782521856.0,1.9919882,0.1112,2.34,Large-Cap,40.54999923706055,-0.5733015615038566,-46.51573431730693
201,AGRO,2.0836219816410457,Consumer Defensive,-33.58,879969984.0,0.6529304,0.080240004,0.78,Small-Cap,8.0600004196167,106.13811362370681,60.19568086790374
203,AGS,1.7819846201018748,Consumer Cyclical,1.31,221102496.0,0.71453387,-0.025969999,0.22,Micro-Cap,5.699999809265137,95.20546781969807,49.263035063894996
205,AGX,4.759024814477001,Industrials,1.41,533956608.0,1.1734278,0.07274,4.47,Small-Cap,39.04999923706055,13.519008156135055,-32.423424599668024
206,AGYS,17.19813690977003,Technology,1834.6,2150549760.0,11.216787,0.06514,0.93,Mid-Cap,85.30999755859375,424.6617242173331,378.71929146153
207,AHCO,6.337070538358941,Healthcare,0.5,1659274880.0,0.5585665,0.02333,1.14,Small-Cap,11.760000228881836,-21.126758221107632,-67.0691909769107
209,AHH,1.9719380158807014,Real Estate,5.39,1040468480.0,2.2910087,0.16459,0.4,Small-Cap,11.859999656677246,52.08922700325259,6.146794247449513
213,AHT,21.232451688381282,Real Estate,-0.16,125424096.0,0.10114398,-0.11276,-4.69,Micro-Cap,3.369999885559082,-94.6507938324459,-140.59322658824897
218,AIG,11.711108141177952,Financial Services,0.6,37820583936.0,0.6703638,0.18214001,7.34,Large-Cap,52.34000015258789,148.2768335921545,102.33440083635142
221,AIM,0.7776402787706802,Healthcare,-0.05,24615112.0,174.57526,0.0,-0.45,Micro-Cap,0.5199999809265137,-77.87234033918747,-123.81477309499056
226,AIN,15.315918392289932,Consumer Cyclical,-20.88,2839359232.0,2.7436419,0.092530005,4.22,Mid-Cap,91.20999908447266,97.78965077901822,51.84721802321514
232,AIRG,5.178087074123844,Technology,-4.89,59946432.0,0.78986007,-0.11409,0.19,Micro-Cap,5.130000114440918,-28.749996523062293,-74.69242927886538
237,AIT,23.581124501499534,Industrials,1.38,5351847936.0,1.2850174,0.07317,8.5,Mid-Cap,138.2899932861328,224.64304337909172,178.70061062328864
241,AIZ,24.06490786084855,Financial Services,0.93,6204975616.0,0.6087487,0.027139999,13.49,Mid-Cap,116.93000030517578,20.085280632688555,-25.85715212311452
243,AJG,33.149495946159284,Financial Services,2.32,44478365696.0,5.3777585,0.13471,9.9,Large-Cap,207.8800048828125,176.09442471056556,130.15199195476248
244,AJRD,6.4174445725219815,Industrials,2.32,4560681984.0,2.0382025,0.033069998,2.32,Mid-Cap,56.77999877929688,54.89513007433951,8.952697318536437
248,AKAM,12.052230441567712,Technology,1.23,12651246592.0,3.4980526,0.14479,6.01,Large-Cap,80.8499984741211,-21.7782527121774,-67.72068546798047
252,AKR,3.8987477264653365,Real Estate,44.47,1395060608.0,4.7389307,-0.1204,0.11,Small-Cap,13.34000015258789,27.507932553537046,-18.43450020226603
258,AL,6.352491359158338,Industrials,0.29,4369550336.0,1.8856198,-0.041869998,6.38,Mid-Cap,39.04999923706055,87.3225995817563,41.38016682595322
260,ALB,66.37391754143897,Basic Materials,0.08,20380700672.0,2.7842093,0.36745,26.29,Large-Cap,193.0500030517578,240.16896833089007,194.22653557508698
262,ALC,8.146412895392432,Healthcare,1.94,35891564544.0,4.1174216,0.038429998,2.95,Large-Cap,71.19000244140625,37.98238483607096,-7.960047919732112
266,ALE,5.676459295589965,Utilities,1.98,3656582144.0,2.3279953,0.12052,4.06,Mid-Cap,64.48999786376953,25.052360145485547,-20.890072610317528
267,ALEC,7.136636481027798,Healthcare,0.13,552135552.0,4.1322255,-0.9977,-2.4,Small-Cap,6.570000171661377,-72.53344418601147,-118.47587694181453
269,ALG,20.84271301742679,Industrials,2.73,2159574016.0,1.4267648,0.06734,11.04,Mid-Cap,180.8600006103516,109.0699437683736,63.12751101257053
271,ALGN,167.12335982106958,Healthcare,1.02,27253090304.0,7.2973905,0.096820004,9.77,Large-Cap,352.3900146484375,88.18221990045686,42.23978714465378
273,ALGT,51.956792462368135,Industrials,0.19,1821049600.0,0.79113156,0.0010800001,9.19,Small-Cap,101.12999725341795,39.067650654310775,-6.8747821014923005
278,ALKS,4.478858707014137,Healthcare,14.62,4829748224.0,4.3441,-0.14235,1.4,Mid-Cap,29.0,78.68145913702284,32.739026381219766
280,ALL,15.887589716042058,Financial Services,-11.03,30488346624.0,0.59302,-0.0255,13.27,Large-Cap,117.37999725341795,23.267498714463883,-22.674934041339192
281,ALLE,14.454392007198797,Industrials,1.81,9049463808.0,2.765813,0.13998,6.91,Mid-Cap,104.19000244140624,17.14728472037849,-28.795148035424585
284,ALLO,12.13287528654006,Healthcare,-2.05,781728704.0,3216.9905,0.0,-2.52,Small-Cap,4.989999771118164,-80.84453006808904,-126.78696282389211
286,ALLT,5.044095270977475,Technology,1.73,103294104.0,0.841589,-0.26096,-0.1,Micro-Cap,2.900000095367432,-71.31552726164438,-117.25796001744746
288,ALNY,32.291537947010596,Healthcare,0.18,25997598720.0,25.059908,-1.09036,-2.47,Large-Cap,202.8600006103516,47.159950401466105,1.2175176456630297
297,ALRM,14.743606575864828,Technology,6.49,2394695680.0,2.8421698,0.06686,2.01,Mid-Cap,48.20000076293945,11.574073869668574,-34.3683588861345
301,ALSN,3.499311150998074,Consumer Cyclical,0.66,4273937920.0,1.5434952,0.19177,6.82,Mid-Cap,46.59000015258789,47.21152969385656,1.2690969380534867
306,ALTO,1.9180127659376571,Basic Materials,-2.17,97689088.0,0.07314132,-0.031140001,0.17,Micro-Cap,1.2999999523162842,381.48144468849245,335.5390119326894
307,ALTR,11.871514802061721,Technology,1.42,5668035072.0,9.905325,-0.0759,1.17,Mid-Cap,70.41000366210938,136.51327705555093,90.57084429974785
309,ALV,12.111990825730208,Consumer Cyclical,0.5,7474916864.0,0.8453875,0.04784,9.39,Mid-Cap,91.93000030517578,74.01308407165912,28.070651315856047
317,AM,2.2724043359051076,Energy,2.28,4929713664.0,4.9762063,0.32931998,0.91,Mid-Cap,10.279999732971191,219.35968438993316,173.41725163413008
322,AMAT,29.682680193100555,Technology,1.25,95887089664.0,3.652424,0.24569,6.77,Large-Cap,114.38999938964844,139.99741327694832,94.05498052114524
323,AMBA,39.1976304917361,Technology,-12.66,2664633344.0,7.8927307,-0.19367,0.53,Mid-Cap,67.31999969482422,37.556194490950325,-8.38623826485275
324,AMBC,2.2338388582013744,Financial Services,-1.35,706478784.0,2.3628054,1.74582,-0.16,Small-Cap,15.149999618530272,3.7671179636310184,-42.17531479217206
328,AMC,13.999460290630882,Communication Services,0.06,4044579584.0,1.0340492,-0.24891001,-0.27,Mid-Cap,4.96999979019165,52.923070467435394,6.980637711632319
329,AMCR,0.9800891150929743,Consumer Cyclical,6.91,16432727040.0,1.0976373,0.0714,0.81,Large-Cap,11.020000457763672,44.758778859768434,-1.1836538960346417
330,AMCX,13.743573704010403,Communication Services,-0.22,789643456.0,0.2550079,0.00245,6.73,Small-Cap,18.200000762939453,-19.71768547997835,-65.66011823578143
331,AMD,22.62160607969298,Technology,3.6,142495219712.0,6.0376773,0.05593,4.34,Large-Cap,90.11000061035156,70.27589517799758,24.333462422194508
332,AME,17.05016998275038,Industrials,2.3,31682060288.0,5.1511106,0.18853001,6.44,Large-Cap,137.97000122070312,88.81673514804372,42.874302392240644
333,AMED,68.44843424422382,Healthcare,-4.86,2563359744.0,1.1530051,0.05335,4.74,Mid-Cap,75.70999908447266,-59.30226330093469,-105.24469605673777
334,AMEH,23.125436753672332,Healthcare,2.93,1824634496.0,1.5947331,0.04287,1.5,Small-Cap,36.63999938964844,175.90361540956758,129.9611826537645
335,AMG,34.72383474223607,Financial Services,0.77,5156795392.0,2.2135968,0.49188998,22.07,Mid-Cap,143.11000061035156,134.78038130802753,88.83794855222445
336,AMGN,16.787333584780974,Healthcare,8.44,130273673216.0,4.9490438,0.24891001,18.69,Large-Cap,243.4600067138672,9.223334866278488,-36.71909788952459
337,AMH,5.161099586045054,Real Estate,2.59,13683594240.0,9.18033,0.18325001,0.53,Large-Cap,33.220001220703125,53.139582271808614,7.197149516005538
338,AMK,3.0457207089682243,Financial Services,0.45,2385533952.0,3.858177,0.16701001,2.42,Mid-Cap,32.61000061035156,52.59709559993342,6.654662844130343
339,AMKR,5.338852117229698,Technology,1.33,5754876928.0,0.8115079,0.10799,2.83,Mid-Cap,23.649999618530277,171.02463654470895,125.08220378890587
342,AMN,23.051688865828392,Healthcare,0.54,3645464064.0,0.6952691,0.08469,8.41,Mid-Cap,87.93000030517578,77.4571173745028,31.514684618699725
343,AMNB,5.454315428604348,Financial Services,2.48,311082528.0,2.8951914,0.32041,2.95,Small-Cap,29.75,46.97489343365491,1.0324606778518373
344,AMOT,5.560130744124496,Technology,0.54,577315392.0,1.1477717,0.03457,2.62,Small-Cap,35.900001525878906,101.26142190546479,55.31898914966171
345,AMP,62.28215124495478,Financial Services,0.98,33068134400.0,2.3048816,0.17836,32.93,Large-Cap,315.760009765625,218.31092679985477,172.3684940440517
349,AMPH,6.975575352783382,Healthcare,0.85,2112789888.0,4.234158,0.18314,2.2,Mid-Cap,43.040000915527344,168.83198188769376,122.88954913189067
353,AMPY,2.7212974098982365,Energy,0.39,269655808.0,0.5884392,0.12629,0.56,Small-Cap,7.079999923706055,856.7567341165706,810.8143013607674
355,AMRC,16.5481165391613,Industrials,0.88,2262872320.0,1.2403228,0.05203,2.46,Mid-Cap,43.7599983215332,159.08821730540075,113.14578454959766
357,AMRN,2.067685255633062,Healthcare,-0.29,548256640.0,1.4850137,-0.28658,-0.1,Small-Cap,1.3600000143051147,-78.91472783686699,-124.85716059267006
358,AMRS,5.406693789549325,Basic Materials,-0.06,289021920.0,1.0710585,-1.95855,-0.47,Small-Cap,0.8299999833106995,-65.12605279829268,-111.06848555409576
359,AMRX,1.2956946811878571,Healthcare,-0.27,497855776.0,0.22503951,-0.05875,0.59,Small-Cap,1.6299999952316284,-47.92332474010853,-93.8657574959116
361,AMSC,6.379701886943032,Industrials,-0.17,119301600.0,1.1633506,-0.32377,-0.37,Micro-Cap,4.039999961853027,-22.15799773966327,-68.10043049546634
362,AMSF,4.9619204077853185,Financial Services,1.78,1019476992.0,3.4594545,0.18868,2.87,Small-Cap,53.34000015258789,-5.603920430771582,-51.546353186574656
364,AMSWA,4.060003786078159,Technology,1.82,432714368.0,3.370207,0.08672,0.47,Small-Cap,12.8100004196167,-6.693701724021518,-52.63613447982459
365,AMT,25.22610150505581,Real Estate,5.74,95136382976.0,8.882036,0.16486,5.06,Large-Cap,205.58999633789065,-12.094028762545067,-58.03646151834814
371,AMWD,18.318996044316734,Consumer Cyclical,0.36,857547648.0,0.4109369,0.03743,5.52,Small-Cap,51.54999923706055,25.94673553066605,-19.995697225137025
373,AMX,3.213014328975266,Communication Services,1.52,68223369216.0,0.08078538,0.090179995,1.78,Large-Cap,21.280000686645508,107.98686329959024,62.044430543787165
374,AMZN,27.95388381299743,Consumer Cyclical,-0.26,1097195651072.0,2.1346924,-0.00529,2.51,Mega-Cap,103.80999755859376,-10.820748812703886,-56.763181568506965
377,ANDE,9.707336871875999,Consumer Defensive,1.68,1492850560.0,0.08616551,0.00756,3.45,Small-Cap,43.81999969482422,225.00886816722306,179.06643541141997
379,ANET,30.67456500094013,Technology,1.35,47757787136.0,10.900344,0.30868998,6.48,Large-Cap,155.38999938964844,210.70231845874105,164.75988570293796
380,ANF,10.526082156918555,Consumer Cyclical,0.91,1193061248.0,0.3226451,0.00075999997,1.99,Small-Cap,24.350000381469727,149.487702975796,103.54527021999291
383,ANGI,4.622407867681298,Communication Services,-0.25,1034805120.0,0.5470748,-0.06791,-0.03,Small-Cap,2.0,-64.85061546770895,-110.79304822351202
385,ANGO,6.381500501036071,Healthcare,-11.8,349203936.0,1.043409,-0.111269996,0.01,Small-Cap,8.850000381469727,-13.574213092942827,-59.5166458487459
386,ANIK,6.912298188878329,Healthcare,-2.33,396112608.0,2.535348,-0.09511,0.03,Small-Cap,27.229999542236328,-16.95639285773285,-62.89882561353593
387,ANIP,5.597826687009554,Healthcare,7.38,708075904.0,2.23802,-0.15139,3.92,Small-Cap,39.59999847412109,-5.3311098716664205,-51.273542627469496
391,ANSS,49.81244826262404,Technology,4.02,28089339904.0,13.598944,0.25354,9.58,Large-Cap,323.45001220703125,27.70452217542812,-18.237910580374955
403,AON,44.93900170094092,Financial Services,2.01,68435374080.0,5.484043,0.20747,16.33,Large-Cap,333.07000732421875,90.1242022005833,44.18176944478022
404,AORT,4.75304812696269,Healthcare,-32.09,592284544.0,1.887525,-0.061160002,0.2,Small-Cap,14.119999885559082,-28.252034214422423,-74.1944669702255
405,AOS,9.981183021744055,Industrials,2.58,10379933696.0,2.7651067,0.06279,3.59,Large-Cap,68.7699966430664,84.07525466053121,38.13282190472814
406,AOSL,12.186918109211112,Technology,0.83,686089728.0,0.8636208,0.099589996,1.66,Small-Cap,24.82999992370605,185.0746247412022,139.13219198539912
409,APA,12.126665735038335,Energy,0.47,11580279808.0,1.0565948,0.33521998,7.29,Large-Cap,37.70000076293945,346.5195283383622,300.57709558255914
412,APAM,7.608242469825983,Financial Services,-0.74,2415777024.0,2.4321086,0.20815,3.03,Mid-Cap,35.45000076293945,80.41569555522983,34.473262799426756
416,APD,25.349953748728854,Basic Materials,2.93,64530661376.0,5.0104947,0.17608999,12.47,Large-Cap,292.4599914550781,46.250638098181255,0.3082053423781801
419,APEI,8.343735238511147,Consumer Defensive,-0.48,124511136.0,0.20535277,-0.18965,-0.14,Micro-Cap,6.420000076293945,-73.97648943478077,-119.91892219058386
424,APH,10.69143368362976,Technology,3.35,45739929600.0,3.623539,0.1507,3.3,Large-Cap,77.16000366210938,104.7847697959394,58.84233704013632
430,APLS,11.909269206853487,Healthcare,-0.46,9598849024.0,127.268555,0.0,-3.4,Mid-Cap,82.43000030517578,136.46012295449722,90.51769019869414
434,APO,9.954622177911016,Financial Services,0.81,36259229696.0,3.3437135,-0.29629,7.53,Large-Cap,64.29000091552734,94.86907140931952,48.92663865351644
435,APOG,8.975221772160355,Industrials,0.72,967859648.0,0.6718,0.07226,3.91,Small-Cap,43.810001373291016,153.18927959018913,107.24684683438605
437,APPF,22.057364711793326,Technology,64.88,4715468288.0,9.992876,-0.14435,0.62,Mid-Cap,129.77000427246094,30.566460478292957,-15.375972277510119
441,APPS,24.638510912189385,Technology,1.05,1228060160.0,1.7298156,0.07142,1.17,Small-Cap,12.350000381469728,134.7908715603816,88.8484388045785
443,APRN,3.096948998545981,Consumer Cyclical,0.02,42274744.0,0.092208914,-0.23934999,-0.62,Micro-Cap,0.5899999737739563,-94.66063381366585,-140.60306656946892
447,APTV,30.095800154250735,Consumer Cyclical,0.71,28538540032.0,1.6317993,0.03396,6.28,Large-Cap,106.08000183105467,81.79949375337586,35.85706099757278
452,APYX,3.552192474859161,Healthcare,-0.46,102063472.0,2.2930458,-0.52087003,-0.49,Micro-Cap,2.950000047683716,-14.985590104873244,-60.92802286067632
454,AQMS,1.2020199708946182,Industrials,-0.18,85661888.0,21415.473,0.0,-0.1,Micro-Cap,1.159999966621399,114.81480009761916,68.87236734181607
455,AQN,2.6274076997284435,Utilities,-17.38,5773223936.0,2.0878482,-0.07666,0.61,Mid-Cap,8.100000381469727,-35.584063796870296,-81.52649655267336
461,AQUA,9.54485201752715,Industrials,3.48,6074628096.0,3.362364,0.04178,1.11,Mid-Cap,49.59000015258789,235.97560557995095,190.03317282414787
462,AR,12.53566324986385,Energy,-0.34,6646054912.0,0.7624535,0.21783,3.48,Mid-Cap,22.729999542236328,987.5598313730343,941.6173986172312
463,ARAV,3.221023092795473,Healthcare,-0.01,101736160.0,11.134525,0.0,-1.26,Micro-Cap,1.7100000381469729,-86.26505972414223,-132.2074924799453
464,ARAY,1.150043681951325,Healthcare,0.19,283619328.0,0.67941725,-0.02832,0.11,Small-Cap,2.970000028610229,67.79661359406177,21.854180838258692
472,ARCB,24.56462207803403,Industrials,0.73,2319093504.0,0.43558806,0.056009997,11.41,Mid-Cap,95.93000030517578,461.8520862389944,415.90965348319133
473,ARCC,2.875573885845983,Financial Services,-8.47,9911374848.0,4.728709,0.28626,2.27,Mid-Cap,18.1299991607666,82.28449993944842,36.34206718364535
474,ARCE,12.061302844995376,Consumer Defensive,6.83,741014976.0,0.41737282,0.02224,0.73,Small-Cap,11.210000038146973,-75.95968307662731,-121.90211583243038
476,ARCO,1.396006638177055,Consumer Cyclical,0.26,1674226304.0,0.4626338,0.03878,0.83,Small-Cap,7.949999809265137,129.88506476168033,83.94263200587724
479,ARDS,2.6500278068114835,Healthcare,0.0,8395234.0,2.9302735,0.0,-0.81,Micro-Cap,0.2399999946355819,-95.9322035465046,-141.87463630230766
480,ARDX,2.6995100651357964,Healthcare,-0.5,1022140288.0,19.597,-1.28853,0.22,Small-Cap,4.78000020980835,-29.39438370346673,-75.33681645926981
